model_name,noise_type,eval_text_variant,original_macro_f1,augmented_macro_f1,augmentation_gain_macro_f1,original_accuracy,augmented_accuracy,augmentation_gain_accuracy
svm_note08,clean,after_norm,0.6404903607921131,0.615526788816274,-0.024963571975839094,0.8663173652694611,0.8538922155688623,-0.012425149700598825
svm_note08,clean,before_norm,0.6369848714692066,0.6164744607520661,-0.020510410717140437,0.865568862275449,0.854191616766467,-0.011377245508982003
svm_note08,masked_word,after_norm,0.5689801550199417,0.5736063668785448,0.004626211858603124,0.8465568862275449,0.838622754491018,-0.007934131736526906
svm_note08,masked_word,before_norm,0.5718763723411465,0.5794055928573081,0.007529220516161561,0.8531437125748503,0.8471556886227545,-0.005988023952095856
svm_note08,mixed_noise,after_norm,0.510552406073331,0.5806364553057641,0.07008404923243317,0.8017964071856287,0.8320359281437125,0.0302395209580838
svm_note08,mixed_noise,before_norm,0.36235307746290024,0.5902786387804179,0.22792556131751762,0.7657185628742516,0.8414670658682635,0.07574850299401192
svm_note08,no_accent,after_norm,0.5303122712180438,0.61441026482138,0.08409799360333614,0.8053892215568862,0.8483532934131737,0.04296407185628748
svm_note08,no_accent,before_norm,0.5305209475485081,0.611899412561233,0.08137846501272494,0.8044910179640719,0.8474550898203593,0.04296407185628748
svm_note08,repeated_char,after_norm,0.6364106129629175,0.6129267628153001,-0.023483850147617336,0.8648203592814371,0.8523952095808384,-0.012425149700598714
svm_note08,repeated_char,before_norm,0.36487730265022233,0.6351744624506069,0.2702971598003846,0.8244011976047905,0.8610778443113772,0.03667664670658677
svm_note08,slang_teencode,after_norm,0.6402504820126995,0.6151815009102477,-0.025068981102451815,0.8661676646706586,0.8537425149700599,-0.012425149700598714
svm_note08,slang_teencode,before_norm,0.6290569831168993,0.6127039140072376,-0.016353069109661722,0.8625748502994012,0.8525449101796407,-0.010029940119760439
svm_note08,special_char,after_norm,0.6404903607921131,0.615336888711785,-0.025153472080328032,0.8663173652694611,0.8537425149700599,-0.012574850299401197
svm_note08,special_char,before_norm,0.5694684816111063,0.580349059828158,0.010880578217051684,0.8522455089820359,0.8473053892215568,-0.004940119760479034
xlmr_note08,clean,after_norm,0.4649504757739659,0.48211899973608974,0.017168523962123816,0.6199101796407186,0.6429640718562875,0.02305389221556886
xlmr_note08,clean,before_norm,0.48106288273998227,0.49659277235995747,0.015529889619975201,0.6476047904191616,0.6699101796407185,0.022305389221556893
xlmr_note08,masked_word,after_norm,0.4038301914910422,0.4348782041590383,0.03104801266799606,0.49326347305389223,0.5441616766467066,0.05089820359281433
xlmr_note08,masked_word,before_norm,0.4020298696499431,0.4317135774674789,0.02968370781753582,0.48098802395209583,0.546556886227545,0.06556886227544911
xlmr_note08,mixed_noise,after_norm,0.2350017748742972,0.2992463798201089,0.06424460494581169,0.25523952095808383,0.34595808383233534,0.09071856287425151
xlmr_note08,mixed_noise,before_norm,0.18272973918647684,0.3084769826856782,0.12574724349920136,0.24610778443113773,0.34970059880239523,0.1035928143712575
xlmr_note08,no_accent,after_norm,0.2531916380454736,0.3183280126652401,0.06513637461976646,0.28892215568862273,0.38547904191616766,0.09655688622754494
xlmr_note08,no_accent,before_norm,0.2695052951864873,0.35377755912193054,0.08427226393544324,0.31392215568862275,0.44640718562874254,0.1324850299401198
xlmr_note08,repeated_char,after_norm,0.46253401832246027,0.48120538177672917,0.018671363454268897,0.6164670658682635,0.6417664670658683,0.025299401197604765
xlmr_note08,repeated_char,before_norm,0.3430526500055288,0.40580776462147367,0.06275511461594485,0.3962574850299401,0.517065868263473,0.12080838323353288
xlmr_note08,slang_teencode,after_norm,0.46349350151882684,0.481761727373571,0.018268225854744136,0.6164670658682635,0.6422155688622755,0.02574850299401199
xlmr_note08,slang_teencode,before_norm,0.4632742865366297,0.4883009936776261,0.025026707140996363,0.6163173652694611,0.6540419161676647,0.03772455089820359
xlmr_note08,special_char,after_norm,0.46437126107792714,0.48036845437760123,0.015997193299674084,0.6175149700598802,0.640119760479042,0.022604790419161747
xlmr_note08,special_char,before_norm,0.3833943515676052,0.4214742371610339,0.038079885593428675,0.4471556886227545,0.5068862275449102,0.059730538922155685
